Date,APA,BA,BAX,BMY,CMCSA,CNP,CPB,DE,HPQ,JCI,JPM,LUV,MMC,MO,MSFT,NI,PCAR,PSA,SEE,T,TGT,TMO,TXT,VZ,ZION
2018-08-13,40.311344146728516,327.27203369140625,67.03187561035156,52.052616119384766,31.963809967041016,24.450349807739258,36.16337585449219,128.21539306640625,20.8738956451416,32.98972702026367,100.0792236328125,57.505035400390625,76.79315948486328,43.105533599853516,102.82540130615234,23.370010375976562,54.64038848876953,180.22938537597656,37.12963104248047,17.04560661315918,74.09939575195312,228.37596130371094,64.96053314208984,43.058528900146484,46.222373962402344
2018-08-14,40.505104064941406,328.0265197753906,67.03187561035156,52.525665283203125,32.283084869384766,24.372373580932617,36.372467041015625,129.84490966796875,21.180862426757812,33.2957649230957,100.7470474243164,57.74936294555664,77.14740753173828,43.27363204956055,104.10823059082031,23.48324966430664,55.383846282958984,180.84078979492188,37.35448455810547,17.061481475830078,75.24609375,229.27679443359375,65.59634399414062,43.594486236572266,47.101627349853516
2018-08-15,38.73358917236328,320.8883361816406,67.54379272460938,52.7884635925293,31.89995574951172,24.4581298828125,36.89517593383789,127.08221435546875,21.075618743896484,33.799842834472656,99.9122543334961,58.96123123168945,77.18467712402344,43.98256301879883,102.69647979736328,23.6835880279541,55.14458084106445,183.58779907226562,37.213951110839844,17.183198928833008,73.4350357055664,226.6930694580078,65.0201416015625,43.899574279785156,46.61531448364258
2018-08-16,38.90888977050781,334.64239501953125,67.85662078857422,53.53307342529297,32.529380798339844,24.755651473999023,36.616397857666016,128.62745666503906,21.172094345092773,33.862850189208984,100.85248565673828,58.16960906982422,77.95838165283203,44.45761489868164,102.6773910522461,23.97103500366211,56.127323150634766,184.97802734375,36.58622360229492,17.51130485534668,74.6909408569336,228.4650115966797,65.76522827148438,44.748878479003906,47.51720428466797
2018-08-17,38.752037048339844,335.0486145019531,68.29267883300781,53.340354919433594,32.474639892578125,24.755651473999023,36.625118255615234,131.66171264648438,21.522916793823242,34.42993927001953,100.85248565673828,58.32598114013672,78.3033218383789,44.581844329833984,102.62017822265625,24.040712356567383,57.39205551147461,187.23927307128906,36.49253463745117,17.47955322265625,75.57372283935547,227.6830291748047,66.21228790283203,45.17764663696289,47.50836181640625
2018-08-20,38.779720306396484,339.2463684082031,68.44435119628906,52.841026306152344,32.31957244873047,24.808156967163086,36.74707794189453,131.60549926757812,21.522916793823242,34.87098693847656,100.7206802368164,60.23173522949219,77.68803405761719,44.57454299926758,101.94291687011719,23.89263343811035,58.31498718261719,186.3263702392578,36.38010025024414,17.52189064025879,75.82852935791016,227.82159423828125,67.20571899414062,45.062217712402344,47.72941589355469
2018-08-21,39.37022018432617,342.1771240234375,67.91349792480469,52.63078689575195,32.602359771728516,24.554386138916016,36.47700881958008,134.69593811035156,21.479063034057617,36.01416015625,101.33580017089844,59.77120590209961,78.45245361328125,43.79983901977539,101.09391784667969,23.666162490844727,58.0756950378418,184.9696807861328,36.89540100097656,17.67535400390625,75.7830581665039,229.0985870361328,68.45742797851562,45.27659606933594,47.94162368774414
2018-08-22,39.93304443359375,338.5596618652344,68.38748931884766,53.060035705566406,32.36518478393555,24.35312271118164,35.90201950073242,133.55340576171875,21.479063034057617,35.654109954833984,101.02824401855469,59.389060974121094,77.79991912841797,43.35402297973633,102.12413024902344,23.518089294433594,57.9133415222168,176.74539184570312,36.83918380737305,17.29433250427246,78.21298217773438,231.73182678222656,67.98058319091797,44.64167785644531,47.80899429321289
2018-08-23,39.5455322265625,336.09320068359375,68.23580932617188,52.63954544067383,32.210105895996094,24.248111724853516,35.379302978515625,132.21421813964844,21.60184669494629,35.23105239868164,100.81734466552734,59.781005859375,77.79058074951172,43.71944808959961,102.60106658935547,23.55293083190918,56.93062210083008,177.27305603027344,36.455055236816406,17.193782806396484,78.91374969482422,231.83079528808594,67.8514404296875,44.75712203979492,47.375728607177734
2018-08-24,40.126808166503906,337.9309387207031,68.5865707397461,52.534423828125,33.2956428527832,24.396875381469727,35.440284729003906,135.56690979003906,21.180862426757812,35.29405212402344,100.77340698242188,59.76140594482422,78.48973846435547,42.95936584472656,103.40235137939453,23.57035255432129,57.622798919677734,178.6381378173828,36.501895904541016,17.273162841796875,79.45979309082031,232.34555053710938,68.17927551269531,45.169395446777344,47.234256744384766
2018-08-27,40.38515853881836,342.1480407714844,69.1838150024414,52.5694694519043,33.231788635253906,24.221858978271484,35.45770263671875,136.91543579101562,21.338735580444336,35.75312805175781,102.55723571777344,59.68301773071289,78.97447204589844,43.12746047973633,104.5470199584961,23.474536895751953,58.63972854614258,178.3785400390625,37.33574676513672,17.37371063232422,78.81362915039062,235.52322387695312,68.78528594970703,45.227115631103516,47.45530319213867
2018-08-28,39.45325469970703,339.7009582519531,69.2596435546875,52.709625244140625,33.15880584716797,24.108102798461914,34.69976806640625,137.19635009765625,21.479063034057617,35.042030334472656,102.05634307861328,60.09455871582031,78.51770782470703,42.71818161010742,105.1766128540039,23.474536895751953,58.52864074707031,179.77716064453125,37.551231384277344,17.289039611816406,78.9046401977539,235.56280517578125,68.9640884399414,45.062217712402344,47.32267761230469
2018-08-29,40.34825134277344,338.71441650390625,70.1128158569336,53.541839599609375,33.52368927001953,24.318119049072266,34.83915710449219,136.71876525878906,21.99652671813965,34.58295822143555,101.72245025634766,59.98677444458008,78.88127136230469,42.69626235961914,106.85546875,23.735849380493164,58.47736358642578,178.11892700195312,38.16960144042969,17.056188583374023,79.75102233886719,237.31495666503906,69.15286254882812,44.99624252319336,47.46415328979492
2018-08-30,40.94799041748047,335.5322570800781,70.23638916015625,53.16515350341797,33.45983123779297,24.300613403320312,34.10734558105469,134.21835327148438,21.689556121826172,33.88985824584961,101.22154998779297,59.594825744628906,78.3592300415039,42.88628387451172,106.7886734008789,23.64874839782715,57.99024963378906,177.2563018798828,37.73861312866211,16.91330909729004,79.45979309082031,236.78041076660156,68.91444396972656,45.144657135009766,47.013206481933594
